"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
160,"14019","Terminée","Pay in Person","Livraison à domicile","8","0","7,8"
162,"14018","Terminée","Pay in Person","Livraison à domicile","8","0","98"
163,"14006","Terminée","Pay in Person","Livraison à domicile","8","0","66"
164,"14005","Terminée","Pay in Person","Livraison à domicile","8","0","13"
166,"14004","Terminée","Pay in Person","Livraison à domicile","8","0","98"
167,"14003","Terminée","Pay in Person","Livraison à domicile","8","0","18"
172,"14001","Terminée","Wallet payment","Livraison à domicile","8","0","98"
173,"14000","Terminée","Pay in Person","Livraison à domicile","8","0","27"
174,"13999","Terminée","Pay in Person","Livraison à domicile","8","0","88"
175,"13998","Terminée","Pay in Person","Livraison à domicile","8","0","7"
179,"13997","Terminée","Pay in Person","Livraison à domicile","8","0","27"
180,"13995","Terminée","Pay in Person","Livraison à domicile","8","0","8"
181,"13993","Terminée","Pay in Person","Livraison à domicile","8","0","18"
185,"13992","Terminée","Pay in Person","Livraison à domicile","8","0","33"
186,"13991","Terminée","Pay in Person","Livraison à domicile","8","0","18"
188,"13990","Terminée","Pay in Person","Livraison à domicile","8","0","8"
191,"13988","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
193,"13987","Terminée","Pay in Person","Livraison à domicile","8","0","98"
195,"13986","Terminée","Pay in Person","Livraison à domicile","8","0","98"
196,"13984","Terminée","Pay in Person","Livraison à domicile","8","0","13"
200,"13983","Terminée","Wallet payment","Livraison à domicile","8","0","98"
201,"13981","Terminée","Pay in Person","Livraison à domicile","8","0","3"
203,"13980","Terminée","Pay in Person","Livraison à domicile","8","0","13"
206,"13978","Terminée","Wallet payment","Livraison à domicile","8","0","88"
207,"13976","Terminée","Pay in Person","Livraison à domicile","8","0","18"
209,"13975","Terminée","Pay in Person","Livraison à domicile","8","0","8"
213,"13974","Terminée","Pay in Person","Livraison à domicile","8","0","28"
214,"13973","Terminée","Pay in Person","Livraison à domicile","8","0","12,9"
217,"13971","Terminée","Pay in Person","Livraison à domicile","8","0","118"
219,"13969","Terminée","Wallet payment","Livraison à domicile","8","0","98"
220,"13966","Terminée","Pay in Person","Livraison à domicile","8","0","56"
221,"13965","Terminée","Pay in Person","Livraison à domicile","8","0","8"
223,"13962","Terminée","Pay in Person","Livraison à domicile","8","0","8"
227,"13803","Terminée","Pay in Person","Livraison à domicile","8","0","8"
229,"13961","Terminée","Wallet payment","Livraison à domicile","8","0","98"
230,"13960","Terminée","Wallet payment","Livraison à domicile","8","0","88"
232,"13958","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
235,"13957","Terminée","Wallet payment","Livraison à domicile","8","0","93"
238,"13955","Terminée","Wallet payment","Livraison à domicile","8","0","38"
239,"13954","Terminée","Wallet payment","Livraison à domicile","8","0","98"
241,"13953","Terminée","Pay in Person","Livraison à domicile","8","0","4"
243,"13952","Terminée","Wallet payment","Livraison à domicile","8","0","98"
244,"13949","Terminée","Pay in Person","Livraison à domicile","0","20","165"
247,"13943","Terminée","Pay in Person","Livraison à domicile","8","0","27"
248,"13942","Terminée","Wallet payment","Livraison à domicile","8","0","98"
249,"13941","Terminée","Pay in Person","Livraison à domicile","8","0","27"
250,"13937","Terminée","Pay in Person","Livraison à domicile","8","0","2"
253,"13931","Terminée","Pay in Person","Livraison à domicile","8","0","73"
254,"13930","Terminée","Wallet payment","Livraison à domicile","8","0","98"
255,"13927","Terminée","Pay in Person","Livraison à domicile","8","0","1"
256,"13926","Terminée","Pay in Person","Livraison à domicile","8","0","108"
257,"13923","Terminée","Pay in Person","Livraison à domicile","8","0","73"
259,"13922","Terminée","Pay in Person","Livraison à domicile","8","0","96"
261,"13921","Terminée","Pay in Person","Livraison à domicile","8","0","32"
263,"13920","Terminée","Pay in Person","Livraison à domicile","8","0","2"
265,"13918","Terminée","Pay in Person","Livraison à domicile","8","0","28"
266,"13911","Terminée","Pay in Person","Livraison à domicile","8","0","8"
269,"13910","Terminée","Pay in Person","Livraison à domicile","8","0","8"
274,"13897","Terminée","Pay in Person","Livraison à domicile","8","0","92"
275,"13896","Terminée","Pay in Person","Livraison à domicile","8","0","48"
276,"13895","Terminée","Pay in Person","Livraison à domicile","8","0","8"
277,"13894","Terminée","Pay in Person","Livraison à domicile","8","0","27"
278,"13889","Terminée","Pay in Person","Livraison à domicile","8","0","123"
281,"13888","Terminée","Pay in Person","Livraison à domicile","8","0","27"
282,"13887","Terminée","Pay in Person","Livraison à domicile","8","0","27"
283,"13827","Terminée","Pay in Person","Livraison à domicile","8","0","2"
286,"13826","Terminée","Pay in Person","Livraison à domicile","8","0","17"
287,"13825","Terminée","Pay in Person","Livraison à domicile","8","0","104"
288,"13806","Terminée","Pay in Person","Livraison à domicile","8","0","102"
289,"13804","Terminée","Wallet payment","Livraison à domicile","8","0","93"
291,"13773","Terminée","Pay in Person","Livraison à domicile","8","0","43"
293,"13739","Terminée","Wallet payment","Livraison à domicile","8","0","98"
294,"13736","Terminée","Wallet payment","Livraison à domicile","8","0","93"
295,"13735","Terminée","Pay in Person","Livraison à domicile","8","0","8"
296,"13733","Terminée","Pay in Person","Livraison à domicile","8","0","8"
297,"13729","Terminée","Pay in Person","Livraison à domicile","8","0","108"
