"Produit_key","Code_Produit","Nom_Produit","Categorie","Sous_Categorie","Matiere","Prix_Vente_HT","Prix_Promo","En_Stock","Publie_Web"
31,"CVC-001-KB","Carafe « el bey » en verre et cuivre martelé","Arts de la table","Cuivres, Shop","Cuivre","125","0",False,False
32,"CVC-003-OD","Carafe Magon  en verre craquelé","Non catalogué","","Autre","0","0",False,False
33,"CVD-001-OD","Carafe Didon en verre craquelé","Arts de la table, Shop","Arts de la table","Autre","0","0",False,False
34,"CVT-001-OD","Carafe Tanit en verre craquelé","Non catalogué","","Autre","0","0",False,False
35,"DBO-001-2M","Duo de Bouteilles avec Support « Olivéa » en Grès","Non catalogué","","Autre","0","0",False,False
36,"DS-001-SO","Diffuseur Sougui","Non catalogué","","Bois","0","0",False,False
37,"DV-001-RES","Duo Vase Noir","Non catalogué","","Autre","0","0",False,False
38,"DV-002-RES","Duo Vase Beige","Non catalogué","","Autre","0","0",False,False
39,"E4B-001-BF","Etagére 4 boitiers bois d'olivier medina épices","Arts de la table, Shop","Arts de la table","Autre","90","0",False,False
40,"ED-001-RES","Ensemble décoratif en résine gris","Déco","Vases","Autre","35","0",False,False
41,"ED-002-RES","Ensemble décoratif en résine Beige","Déco","Vases","Autre","45","0",False,False
42,"ED-003-RES","Ensemble décoratif en résine Gris + doré","Déco","Sculptures, Shop","Autre","45","0",False,False
43,"ED-004-RES","Ensemble décoratif en résine gris marbré","Déco","Vases","Autre","50","0",False,False
44,"ED-005-RES","Ensemble décoratif grand modèle","Déco","Sculptures, Shop","Autre","98","90",False,False
45,"FAV-001-OD","Set « Flûtes d’Azur » – 6 flûtes en verre soufflé craquelé","Non catalogué","","Autre","0","0",False,False
